,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Pose
370,23254.952268865363,25125.00215858391,26748.27787426916,26286.21546894756,23207.535974380957,23942.363682729858,19958.393145829392,17399.91574778178,1.0
371,22132.743860045248,23932.881057273135,25493.46956753593,25043.433510988394,22066.794562245013,22769.633446882886,18936.116625724022,16483.815132334414,1.0
372,21113.589435585043,22840.80680278126,24335.520785048513,23898.215103462808,21027.614159363417,21697.52286009639,18013.896803038682,15671.143612246273,1.0
373,20531.957514559665,22195.171550817446,23632.33819562476,23208.961983467543,20437.900537177233,21080.836106296447,17528.359256083793,15275.119152562622,1.0
374,20349.64131567207,21962.348151782673,23356.083069032105,22948.362642512122,20267.432315882725,20892.38568294181,17453.201550377944,15264.48646544085,1.0
375,20333.741696940502,21906.531998327486,23269.352142439482,22878.800751416373,20281.435532567488,20895.715768313272,17563.565729345002,15424.049431860027,1.0
376,20306.1175126931,21844.155720088347,23181.761722683936,22807.734680735743,20288.337831951816,20894.848195097693,17667.3920667781,15572.111936718067,1.0
377,19875.118518428306,21373.413795910907,22680.79163522389,22321.628065221594,19882.615468280695,20477.357882352706,17365.663869141536,15328.731602960106,1.0
378,19114.19554009902,20561.49096585349,21826.745643540293,21480.3327199112,19128.2470623284,19703.361286768915,16719.57309402474,14763.218981426484,1.0
379,18238.098886857784,19624.813118290207,20837.207727281944,20501.352107760256,18241.623187154033,18790.803840157245,15941.831224110652,14083.312208790223,1.0
380,17209.18082079392,18533.5041434496,19689.227591690757,19362.223595783795,17191.998310943796,17712.516080716294,14990.966289382472,13232.122620672582,1.0
381,16468.444307309837,17738.874318145532,18844.69828389265,18527.060997942757,16436.56096880877,16932.73980860375,14317.468413151102,12640.353106831915,1.0
382,16269.200228020254,17502.415142911832,18575.016282901397,18267.97561552772,16241.722800566604,16723.773683432253,14185.612987184979,12556.602909715692,1.0
